hierarchyId	pCFID	name	verb	object	filePath
8.0	20607	Manage Information Technology (IT)	Manage	Information Technology (IT)	08-ManageInformationTechnologyIt/index.mdx
8.1	20608	Develop and manage IT customer relationships	Develop	And Manage IT Customer Relationships	08-ManageInformationTechnologyIt/8.1-DevelopAndManageItCustomerRelationships/index.mdx
8.1.1	20609	Understand IT customer needs	Understand	IT Customer Needs	08-ManageInformationTechnologyIt/8.1-DevelopAndManageItCustomerRelationships/8.1.1-UnderstandItCustomerNeeds/index.mdx
8.1.1.1	20610	Understand IT customer communities	Understand	IT Customer Communities	08-ManageInformationTechnologyIt/8.1-DevelopAndManageItCustomerRelationships/8.1.1-UnderstandItCustomerNeeds/20610-UnderstandItCustomerCommunities.mdx
8.1.1.2	20611	Assess IT customer operational capabilities	Assess	IT Customer Operational Capabilities	08-ManageInformationTechnologyIt/8.1-DevelopAndManageItCustomerRelationships/8.1.1-UnderstandItCustomerNeeds/20611-AssessItCustomerOperationalCapabilities.mdx
8.1.2	20612	Identify IT customer transformation needs	Identify	IT Customer Transformation Needs	08-ManageInformationTechnologyIt/8.1-DevelopAndManageItCustomerRelationships/8.1.2-IdentifyItCustomerTransformationNeeds/index.mdx
8.1.2.1	20613	Understand business requirements for IT capabilities	Understand	Business Requirements For IT Capabilities	08-ManageInformationTechnologyIt/8.1-DevelopAndManageItCustomerRelationships/8.1.2-IdentifyItCustomerTransformationNeeds/20613-UnderstandBusinessRequirementsForItCapabilities.mdx
8.1.2.2	20614	Understand IT landscape	Understand	IT Landscape	08-ManageInformationTechnologyIt/8.1-DevelopAndManageItCustomerRelationships/8.1.2-IdentifyItCustomerTransformationNeeds/20614-UnderstandItLandscape.mdx
8.1.2.3	20615	Develop IT visioning	Develop	IT Visioning	08-ManageInformationTechnologyIt/8.1-DevelopAndManageItCustomerRelationships/8.1.2-IdentifyItCustomerTransformationNeeds/20615-DevelopItVisioning.mdx
8.1.2.4	20616	Outline IT service expectations	Outline	IT Service Expectations	08-ManageInformationTechnologyIt/8.1-DevelopAndManageItCustomerRelationships/8.1.2-IdentifyItCustomerTransformationNeeds/20616-OutlineItServiceExpectations.mdx
8.1.3	20617	Plan and communicate IT services	Plan	And Communicate IT Services	08-ManageInformationTechnologyIt/8.1-DevelopAndManageItCustomerRelationships/8.1.3-PlanAndCommunicateItServices/index.mdx
8.1.3.1	20618	Manage IT customer expectations	Manage	IT Customer Expectations	08-ManageInformationTechnologyIt/8.1-DevelopAndManageItCustomerRelationships/8.1.3-PlanAndCommunicateItServices/20618-ManageItCustomerExpectations.mdx
8.1.3.2	20619	Define future IT services	Define	Future IT Services	08-ManageInformationTechnologyIt/8.1-DevelopAndManageItCustomerRelationships/8.1.3-PlanAndCommunicateItServices/20619-DefineFutureItServices.mdx
8.1.3.3	20620	Determine  IT performance indicators	Determine	IT Performance Indicators	08-ManageInformationTechnologyIt/8.1-DevelopAndManageItCustomerRelationships/8.1.3-PlanAndCommunicateItServices/20620-DetermineItPerformanceIndicators.mdx
8.1.3.4	20621	Create IT marketing messages	Create	IT Marketing Messages	08-ManageInformationTechnologyIt/8.1-DevelopAndManageItCustomerRelationships/8.1.3-PlanAndCommunicateItServices/20621-CreateItMarketingMessages.mdx
8.1.3.5	20622	Create IT service marketing plan	Create	IT Service Marketing Plan	08-ManageInformationTechnologyIt/8.1-DevelopAndManageItCustomerRelationships/8.1.3-PlanAndCommunicateItServices/20622-CreateItServiceMarketingPlan.mdx
8.1.4	20623	Provide IT transformation guidance	Provide	IT Transformation Guidance	08-ManageInformationTechnologyIt/8.1-DevelopAndManageItCustomerRelationships/8.1.4-ProvideItTransformationGuidance/index.mdx
